Natuerliches Mineralwasser;How high is mount Howe;2,930 metres ;NUM:count;29577103;Mount Howe (87�22'S 149�30'WCoordinates: 87�22'S149�30'W) is an elongated mountain in Antarctica, 2,930 metres (9,600ft) high, comprising low connecting ridges and gable-shaped nunataks.
kaiser-simkin;Who wrote Edward Munchs biography?;Sue Prideaux;HUM:ind;13755335;She has strong links to Norway and her godmother was painted by Edvard Munch, whose biography she later wrote under the title Edvard Munch: Behind the Scream
ulges;What helped Avicenna understand the Metaphysics of Aristotle?;al-Farabi's commentary;ENTY:other;1130;As a teenager, he was greatly troubled by the Metaphysics of Aristotle, which he could not understand until he read al-Farabi's commentary on the work.
roth-schoeneich;Which plant is also known as Mexican cliffrose?;Purshia mexicana;ENTY:other;27427520;Purshia mexicana is a species of perennial flowering small tree in the rose family known by the common name Mexican cliffrose.
ulges;What did the Mongol army throw in their catapults?;infected corpses;ENTY:other;4501;After a protracted siege, during which the Mongol army under Jani Beg was suffering from the disease, the army catapulted the infected corpses over the city walls of Kaffa to infect the inhabitants.
Powerpuff Girls;How long is the 'Kraichbach'?;60 km;NUM:count;30082476;The Kraichbach is a 60 km long right tributary of the Rhine River running through the German state of Baden-Württemberg. 
DieDreier;Who captured the Fotheringhay Castle in 1221?;William de Forz;HUM:ind;26905;This was how William de Forz captured Fotheringhay Castle in 1221
ott-ragowski;In what year was The American Experiment first published?;2002;NUM:date;18027378;The book, first published in 2002, is in its third edition.
ulges;What famous 5.9-mile athletic event takes place annually in Newcastle in June?;Blaydon Race;ENTY:other;70348;Another famous athletic event is the 5.9-mile (9.5 km) Blaydon Race (a road race from Newcastle to Blaydon), which has taken place on 9 June annually since 1981, to commemorate the celebrated Blaydon Races horse racing.
ulges;Who was the first ruler of the Kushan empire?;Kujula Kadphises;HUM:ind;13890;The Kushan Empire expanded out of what is now Afghanistan into the northwest of the subcontinent under the leadership of their first emperor, Kujula Kadphises, about the middle of the 1st century CE.
Natuerliches Mineralwasser;Who owns Hamilton Gardens?;Hamilton City Council;ENTY:other;4742053;Hamilton Gardens is a public garden park in the south of Hamilton owned and managed by Hamilton City Council in New Zealand.
maciejewska-maita;What is Peg Woffington nationality?;Irish;HUM:ind;225732;Irish-born actress Peg Woffington
ulges;Who composed the Concerto in C Major Op 3 6?;Antonio Vivaldi;HUM:ind;18888;Antonio Vivaldi composed a mandolin concerto (Concerto in C major Op.3 6) and two concertos for two mandolins and orchestra.
Brennholzverleih;How many production plants has the Volkswagen Group?;61;NUM:count;21183116;As of February 2010, it has 61 production plants and factories in fifteen European countries, along with six countries in the Americas, Asia, and Africa.
ravindran-wedemeyer;What is the tallest building in Paraguay?;Icono Tower;ENTY:other;20987254;It is the tallest building in Paraguay, surpassing former Wilson Tower.
ulges;How old was Joséphine de Beauharnais when she was married to Napoleon?;32;NUM:count;69880;Napoleon married Joséphine de Beauharnais in 1796, when he was 26, she was a 32-year-old widow whose first husband had been executed during the Revolution.
elmas-hennig;Whats the approximately necessary height for a satellite to get into an circular orbit?;20,200 km;NUM:count;6771843;For circular orbits, the altitude is approximately 20,200 km.
Natuerliches Mineralwasser;What did various Christian, Jewish and Muslim religious leaders call Hurricane Katrina;God's punishment;ENTY:other;37505537;"Various Christian, Jewish and Muslim religious leaders claimed that Hurricane Katrina was God's punishment on America, New Orleans or the world for any of a variety of alleged sins, including abortion, sexual immorality (including the gay pride event Southern Decadence), the policies of the ""American Empire"", failure to support Israel, and failure of black people to study the Torah."
benjabeur-reitz;Where were the Rugini located?;Pmerania;LOC:other;22738272;The Rugini were a tribe in Pomerania.
ulges;Until she became queen, what flower was on Elizabeth's coat of arms?;Tudor rose;ENTY:other;12153654;From 21 April 1944 until her accession, Elizabeth's arms consisted of a lozenge bearing the royal coat of arms of the United Kingdom differenced with a label of three points argent, the centre point bearing a Tudor rose and the first and third a cross of St George.
roth-schoeneich;Who started cultivation Ribes sanguineum?;David Douglas;HUM:ind;4477712;Ribes sanguineum was introduced into cultivation by 19th century Scottish botanist David Douglas.
Die eisernen Einhoerner;What is the capital of the Mountain Province?;Bontoc;LOC:city;274625;Its capital is Bontoc.
maciejewska-maita;Which animal is used to name the Maputo Special Reserve?;Elephant;ENTY:animal;25154417;Maputo Special Reserve, (formerly known as Maputo Elephant Reserve), is a nature reserve in Mozambique. The reserve is located on Maputo Bay, approximately 100 kilometers southeast of the city of Maputo, Mozambique. The Reserve is 77,400 hectares (191,000 acres) in extent and was originally proclaimed in 1932
donaera-selak;In what town is the Bilca gas field?;Bilca;LOC:other;28516189;The Bilca gas field is a natural gas field located in Bilca, Suceava County.
FuhrmeisterLamkadmiLendle;In which year Sir Walter Raleigh was executed?;1618;NUM:date;961938;1618 England – Execution of Sir Walter Raleigh
Powerpuff Girls;Where is Area 51?;Nevada;LOC:city;2321;Area 51 is located in the southern portion of Nevada in the western United States, 83 miles (134 km) north-northwest of Las Vegas.
donaera-selak;Where is the radio station KIRO-AM located?;Seattle;LOC:city;780670;KIRO-AM is a radio station based in Seattle, Washington on the shores of Lake Union with 2 towers on Maury Island, broadcasting on 710 kHz in the AM radio spectrum.
DieDreier;"Who wrote the book ""The Decline of the West""?";Oswald Spengler;HUM:ind;22588;He is best known for his book The Decline of the West (Der Untergang des Abendlandes), published in 1918 and 1922, covering all of world history. Spengler's model of history postulates that any culture is a superorganism with a limited and predictable lifespan.
ulges;What famous German military strategist has a name with Slavic origin?;Karl von Clausewitz;HUM:ind;152735;Prussian military strategist Karl von Clausewitz is a famous German whose surname is of Slavic origin.
DieDreier;What is Anatolias former name?;Troy;LOC:city;30059;Troy (Ancient Greek: Τροία, Troia and Ἴλιον, Ilion, or Ἴλιος, Ilios
FuhrmeisterLamkadmiLendle;Who is the co-driver of Mikko Hirvonen?;Jarmo Lehtinen;HUM:ind;22022569;He is currently the co-driver to former World Rally Championship driver Mikko Hirvonen.
DieDreier;When did Rondesia lead their  unilateral declaration of independence?;11 November 1965;NUM:date;26219;On 11 November 1965, following a brief but solemn consensus, Rhodesia's leading statesmen issued their country's unilateral declaration of independence (UDI).
ulges;In March 2014, The Times had an average daily circulation of how many people?;394,448;NUM:count;39127;The Times had an average daily circulation of 394,448 in March 2014, in the same period, The Sunday Times had an average daily circulation of 839,077.
ulges;Along with the X-10 Pile, what was the X-10 Graphite Reactor previously known as?;the Clinton Pile;ENTY:other;31743;The X-10 Graphite Reactor at Oak Ridge National Laboratory (ORNL) in Oak Ridge, Tennessee, formerly known as the Clinton Pile and X-10 Pile, was the world's second artificial nuclear reactor (after Enrico Fermi's Chicago Pile) and was the first reactor designed and built for continuous operation.
Die eisernen Einhoerner;Who discovered Ninu's Cave?;Joseph Rapa;HUM:ind;3203878;Ninu's Cave is an underground cave in the village of Xagħra, Gozo, Malta. Ninu's Cave was discovered by local resident Joseph Rapa in 1888 while digging a well under a private house.
maciejewska-maita;When was Presidio de Calabasas build?;1837;NUM:date;29319380;a stone fortress built by Mexico in 1837 south of Tumacacori Arizona.
schwarz-voss;When is May Morris died?;17 October 1938;NUM:date;2294579;"Mary ""May"" Morris (25 March 1862 – 17 October 1938) was an English artisan, embroidery designer, jeweller, socialist, and editor."
Natuerliches Mineralwasser;Who advanced the Hockney–Falco thesis;artist David Hockney and physicist Charles M. Falco;HUM:gr;10082768;The Hockney–Falco thesis is a theory of art history, advanced by artist David Hockney and physicist Charles M. Falco
ulges;What type of language is Maltese?;Semitic;ENTY:other;410666;Maltese is a Semitic language that is the official language of Malta.
ulges;Where is the Indo-Greek Kingdom?;South Asia;LOC:other;455379;After Alexander the Great's ventures in the Persian Empire, Hellenistic kingdoms were established throughout south-west Asia (Seleucid Empire, Kingdom of Pergamon), north-east Africa (Ptolemaic Kingdom) and South Asia (Greco-Bactrian Kingdom, Indo-Greek Kingdom).
ulges;How many nations were against Iraq in the US-led coalition?;34;NUM:count;161323;The Persian Gulf War was a conflict between Iraq and a coalition force of 34 nations led by the United States.
ott-ragowski;When was the London Company founded?;1606;NUM:date;238524;The London Company (also called the Charter of the Virginia Company of London) was an English joint stock company established in 1606 by royal charter by King James I with the purpose of establishing colonial settlements in North America.
Team Triggered;When was 'Animal Farm' published?;17 August 45;NUM:date;620;Animal Farm is an allegorical novella by George Orwell, first published in England on 17 August 1945.
frehmann-kaminski;Where is Vapila?;Macedonia;LOC:country;27704042;Vapila (Macedonian: \u0412\u0430\u043f\u0438\u043b\u0430) is a village in Ohrid Municipality, Macedonia.
ulges;Where do nucleomorph genes transfer to?;dinophyte nucleus;ENTY:other;6355;The chloroplast is surrounded by two membranes and has no nucleomorph—all the nucleomorph genes have been transferred to the dinophyte nucleus.
roth-schoeneich;Who publishes the journal Trowel?;Postgraduate students at the School of Archaeology, University College Dublin, Ireland;HUM:gr;14556925;Trowel is an academic journal published by postgraduate students at the School of Archaeology, University College Dublin, Ireland
Team Triggered;In which country was Alexander Bell born?;Scotland;LOC:country;852;Alexander Bell was born in Edinburgh, Scotland, on March 3, 1847.
ulges;What is the only story of the original series where Doctor Who travels alone?;The Deadly Assassin;ENTY:cremat;8209;The only story from the original series in which the Doctor travels alone is The Deadly Assassin.
Articifial Stupidity;What does MWCOG stand for?;Metropolitan Washington Council of Governments;ENTY:other;813844;'Metropolitan Washington Council of Governments (MWCOG) is an independent  nonprofit association where area leaders address regional issues affecting the District of Columbia  suburban Maryland and northern Virginia.
ulges;In what month and year did the 44th Pacific Islands Forum summit take place?;September 2013;NUM:date;19147;In September 2013, the Marshall Islands hosted the 44th Pacific Islands Forum summit.
FuhrmeisterLamkadmiLendle;When did the border campaign of the IRA started?;December 12, 1956;NUM:date;2265848;The Border Campaign (December 12, 1956 – February 26, 1962) was a guerrilla warfare campaign (codenamed Operation Harvest) carried out by the Irish Republican Army (IRA) against targets in Northern Ireland, with the aim of overthrowing British rule there and creating a united Ireland.
ott-ragowski;How many MLS clubs are clients of Match Analysis?;17;NUM:count;49167470;Current Match Analysis clients include all 18 Liga MX clubs in Mexico, 17 MLS clubs, the Mexico national team, PRO Professional Referee Organization and a wide array of college and amateur sides.
Natuerliches Mineralwasser;What is the biological counterpart of the Solubility pump?;Biological pump;ENTY:other;1605201;The solubility pump has a biological counterpart known as the biological pump.
Die eisernen Einhoerner;How high is Keim Peak?;2,045 metres;NUM:count;29718595;Keim Peak (70°44′S 159°52′E) is a noteworthy pointed rock peak, 2,045 metres (6,710 ft) high, on the southern spur of Pomerantz Tableland, in the Usarp Mountains of Antarctica.
ulges;How many people are employed by the ICT industry in Melbourne?;60,000;NUM:count;17306237;Melbourne has an important ICT industry that employs over 60,000 people (one third of Australia's ICT workforce), with a turnover of $19.8 billion and export revenues of $615 million.
Articifial Stupidity;What is birthplace of the famous D&D character Drizzt Do'Urden?;Menzoberranzan;LOC:other;414904;Menzoberranzan  the City of Spiders  is a fictional city-state in the world of the Forgotten Realms  a Dungeons & Dragons campaign setting. It is located in the Upper Northdark  about two miles below the Surbrin Vale  between the Moonwood and the Frost Hills (north of the Evermoors and under the River Surbin). It is famed as the birthplace of Drizzt Do'Urden  the protagonist of several series of best-selling novels by noted fantasy author R. A. Salvatore.
maciejewska-maita;Which is typical Scandinavian food?;lutefisk;ENTY:food;34164547;Numerous other typical cultural Scandinavian elements are also included in the film, such as stave churches, trolls, Viking ships, a hot spring, Fjord horses, clothes, and food such as lutefisk.
Team Triggered;Where did Jazz originate from?;New Orleans;LOC:city;15613;Jazz is a music genre that originated amongst African Americans in New Orleans, United States, in the late 19th and early 20th centuries, and developed from roots in Blues and Ragtime.
lang-wilhelm;To which country did James Edward Jack Patterson belong to?;Canada;LOC:country;24072178;James Edward Jack Patterson (2 July 1884 \u2013 21 July 1964) was a Liberal party member of the Canadian House of Commons.
funk-jung;When did the Battle of Corinth take place?;146 BC;NUM:date;2924155;The Battle of Corinth was a battle fought between the Roman Republic and the Greek city-state of Corinth and its allies in the Achaean League in 146 BC, which resulted in the complete and total destruction of Corinth.
abesh-feller;Where was Frank Tinney arrested?;New York City;LOC:city;45086075;Comedian and actor Frank Tinney was arrested in New York City for assaulting Ziegfeld Follies dancer Imogene Wilson.
ulges;In which year was the new $1 US Presidential coin introduced?;2007;NUM:date;18717338;In February 2007, the U.S. Mint, under the Presidential $1 Coin Act of 2005, introduced a new $1 U.S. Presidential dollar coin.
Powerpuff Girls;When was Fargo premiered?;1996;NUM:date;142430;Fargo premiered at the 1996 Cannes Film Festival, where Joel Coen won the festival's Prix de la mise en scène (Best Director Award) and the film was nominated for the Palme d'Or.
ulges;What was the estimated population of Nanjing in 2011?;8.11 million;NUM:count;21791;The statistics in 2011 estimated the total population to be 8.11 million.
Brennholzverleih;Where is the Mitchell Plain?;Indiana;LOC:country;19442763;The Mitchell Plain is a karst area in Indiana of relatively low relief.
FuhrmeisterLamkadmiLendle;How many sons did Abu'l Abbas al-Hijazi have?;7;NUM:count;41089318;Abu'l Abbas al-Hijazi, was a 12th-century Arab Muslim traveler, merchant and sailor and is known to have spent forty years in China. His 7 sons whom he positioned in seven different commercial centers from his base in Yemen, enhanced his trading business by sending goods from foreign markets.
FuhrmeisterLamkadmiLendle;who wrote the history of Horouta?;Rongowhakaata Halbert;HUM:ind;4740351;Rongowhakaata Halbert wrote a history of Horouta, published posthumously in 1999.
ulges;What genre does House music fall into?;electronic dance music;ENTY:cremat;13930;House music is a genre of electronic dance music that originated in Chicago in the early 1980s.
ulges;What had the Kushans conquered much of by the time of Kanishka;northern India;LOC:other;13890;By the time of his grandson, Kanishka, they had conquered most of northern India, at least as far as Saketa and Pataliputra, in the middle Ganges Valley, and probably as far as the Bay of Bengal.
kaiser-simkin;When did Alexander the Great die?;323 BC;NUM:date;51035921;Following the death of Alexander the Great in 323 BC, his empire was disputed between his generals, including Antigonus.
ulges;What was Bell's favorite subject?;biology;ENTY:other;852;His main interest remained in the sciences, especially biology, while he treated other school subjects with indifference, to the dismay of his demanding father.
ulges;In what year was the Royal Society of London given a royal charter?;1662;NUM:date;30758;It was founded by a group of independent scientists and given a royal charter in 1662.
ulges;What is the name of the project for La Defense called that has not yet been started?;Hermitage Plaza;ENTY:other;22989;A new project for La Defense, called Hermitage Plaza, launched in 2009, proposes to build two towers, 85 and 86 stories or 320 metres high, which would be the tallest buildings in the European Union, just slightly shorter than the Eiffel Tower.
Team Triggered;What is Djibouti?;country in the Horn of Africa;LOC:country;8042;Djibouti is a country in the Horn of Africa.
FuhrmeisterLamkadmiLendle;Which ship has the name Pelican bevor it would renamed after Sir Christopher Hatton?;Golden Hind;ENTY:other;400008;She was originally known as Pelican, but was renamed by Drake mid-voyage in 1578, in honour of his patron, Sir Christopher Hatton, whose crest was a golden 'hind' (a female red deer).
FuhrmeisterLamkadmiLendle;Between who was the Treaty of Falaise made in December 1174?;William I, King of Scots, and Henry II, King of England;HUM:ind;7644666;The Treaty of Falaise was an agreement made in December 1174 between the captive William I, King of Scots, and Henry II, King of England.
Powerpuff Girls;How many calories does cooked Amaranth has?;251 calories for one cup;NUM:count;1542;One cup (2.4 dl, 245 g) of cooked amaranth grain (from about 65 g raw) provides 251 calories and is an excellent source (20% or more of the Daily Value, DV) of protein, dietary fiber, and some dietary minerals.
DieDreier;What is the third month of the year?;March;ENTY:other;19344;March is the third month of the year in both the Julian and Gregorian calendars.
Brennholzverleih;Who made the first transcontinental flight?;Calbraith Perry Rodgers;HUM:ind;7353527;The first transcontinental flight across the United States was made by Calbraith Perry Rodgers in an attempt to win the Hearst prize offered by publisher William Randolph Hearst.
Natuerliches Mineralwasser;When is the German Unity Day?;3 October;NUM:date;12244;he Day of German Unity (German: Tag der Deutschen Einheit) is the national day of Germany, celebrated on 3 October as a public holiday.
FuhrmeisterLamkadmiLendle;What is the Country Code of the Federated States of Micronesia?;+691;NUM:count;32824557;Country Code: +691International Call Prefix: 00.
roth-schoeneich;In what mountain range is the Matsch Ridge?;Ellsworth Mountains, Antarctica;LOC:other;29583913;Matsch Ridge (77\u00b034\u2032S 86\u00b020\u2032W) is a prominent ridge at an elevation of about 1,830 metres (6,000 ft), extending for 1.5 nautical miles (3 km) in a west\u2013northwest direction from Mount Ulmer in Gromshin Heights on the east side of northern Sentinel Range in the Ellsworth Mountains, Antarctica.
Natuerliches Mineralwasser;Where was James Jameson Dickson born;Gothenburg;LOC:city;42823426;Dickson was born in 1815 in Gothenburg. 
davidoff-meyer;Who was known as Father of the Northwest Territory?;Rufus Putnam;HUM:ind;765198;"Rufus Putnam (April 9, 1738 \u2013 May 4, 1824) was a colonial military officer during the French and Indian War, and a general in the Continental Army during the American Revolutionary War. As an organizer of the Ohio Company, he was instrumental in the initial settling of the Northwest Territory in present-day Ohio following the war.\nHe was known as ""Father of the Northwest Territory"""
FuhrmeisterLamkadmiLendle;How long is the James River?;210km;NUM:count;4333496;the James River is a 130-mile-long(210km) river in southern Missouri.
ulges;Where can one find the encoding techniques for CDs?;Red Book;ENTY:cremat;6429;These encoding techniques (defined in the Red Book) were originally designed for CD Digital Audio, but they later became a standard for almost all CD formats (such as CD-ROM).
ulges;In which year was the FA given an official coat of arms by the College of Arms?;1949;NUM:date;9904;Initially topped by a crown, this was removed in 1949 when the FA was given an official coat of arms by the College of Arms, this introduced ten Tudor roses, one for each of the regional branches of the FA.
FuhrmeisterLamkadmiLendle;Who created the Sambal-Lei Sekpil?;Moirangthem Okendra Kumbi;HUM:ind;2321000;Created by Moirangthem Okendra Kumbi, it is modelled in the shape of a series of open umbrellas and spheres.
kaiser-simkin;In which year was The Marshall Islands \u2013 Federated States of Micronesia Maritime Boundary Treaty signed?;2006;NUM:date;25876209;The treaty was signed in Majuro on 5 July 2006
bauer-klamroth;Where is the The Cuxtal Ecological Reserve located?;Yucatán in southeastern Mexico;LOC:other;46650931;The Cuxtal Ecological Reserve is located south of Mérida in the state of Yucatán in southeastern Mexico.
elmas-hennig;Since when does the National Geographic exist?;1888;NUM:date;51249444;National Geographic was founded in 1888.
bauer-klamroth;Where is the The Wijnegem Shopping Center located?;Wijnegem;LOC:city;45114953;The Wijnegem Shopping Center is a shopping mall in Wijnegem, near Antwerp, Belgium.
funk-jung;Who was in Greek mythology the father of Pittheus?;Pelops;HUM:ind;82810;In Greek mythology, Pittheus /ˈpɪθˌjuːs/ (Ancient Greek: Πιτθεύς) was a son of Pelops, father of Aethra and Henioche, and grandfather of Theseus.
frehmann-kaminski;How many people live in Moestroff?;405;NUM:count;4969273;As of 2005, the town has a population of 405.
frehmann-kaminski;Who is the author of the book Blood and Soil?;Ben Kiernan;HUM:ind;21036566;Blood and Soil: A World History of Genocide and Extermination from Sparta to Darfur (ISBN 978-0300100983) is a 2007 book by Ben Kiernan, who for thirty years has studied genocide and crimes against humanity.
Powerpuff Girls;What is the capital of Saxony-Anhalt?;Magdeburg;LOC:city;38138;Its capital is Magdeburg and its largest city is Halle (Saale).
maciejewska-maita;What was the first airplane to fly non-stop across the Pacific Ocean?;The Miss Veedol;ENTY:other;5468654;The Miss Veedol was the first airplane to fly non-stop across the Pacific Ocean
abesh-feller;Who was the father of Olympias the Herodian;Herod the Great?;HUM:ind;16969718;Olympias the Herodian was the daughter of Herod the Great and wife Malthace, a Samaritan.
Articifial Stupidity;What is the fourth biggest country in Africa?;Libya;LOC:country;17802;Libya is fourth in size among the countries of Africa and seventeenth among the countries of the world.
